respid,sample,int_date,fcall,attempt,refusal,lang,phase,qa1,q1c1,qc1a,qb2,qb3,qb4,qb5,qa6,qa8,qa9a,qa9b,qa9c,qa9d,qa9e,qa9f,qa9g,qa11a,qa11b,q11c_b,q11e_b,q11h_b,q11i_b,q11j_b,q11at,qb12,q25a,q25a,q25b,q25c,q25d,q25f,q25g,q25h,q25i,q25j,q25k,q25l,q25m,q25n,q25o,q25p,qb26,qc26,oftvote,q26f1,q26f1a,q26f1b,q26f2,q26f2a,q26f2b,Q26,Q26CAT,qb27,qb27a,int1,int2,int3m,qc28a,qc28b,qc28c,qc28d,qc28e,qc28f,qc28g,qc28h,qa29a,qa29b,q40,qb40a,qb40b,q41,q42,q43,qc48a,qc48b,qc48c,qc49a,qc49b,qc49c,q50q,q50r,q50s,q50t,q50u,q50v,q50w,q50y,q50z,q50aa,q50bb,q50dd,q50ee,q50ff,q50gg,150hh,q51uu,q51jj,q51kk,151ll,q51mm,q51oo,q51pp,q53,qb54,qb55,qc56,qc57,qc58a,qc58b,q100,q101,q102,q102a,q105a,q105b,q105d,q106,qb106,qb107,qb108,qb109,qa110,qb111,qb112,qb115,qb116,qb116a,qb117,q121,q121a,q121b,q122,q122a,q122b,q123,q123a,q123b,q124,q124a,q124b,q125,q125a,q125b,q126,q126a,q126b,qc127,qc128,qc135,qc135a,b139txt,qb139,b139atxt,qb139a,sex,age,educ,hisp,racem1,racem2,racem3,racem4,birht_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,inchi,reg,party,partyln,partystrflag,partystr,partysum,ideo,qd140,qb140b,qb141,qb141b,qc142,q148,q149,teaparty2,q150,pvote12a,pvote12b,employ2,employ1,employ7,hh1,hh3,ql1,ql1a,qc1,lc2,lc3,isex,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,racecmb,racethn,intuser,q148correct,llweight,cellweight,ideoConsis,iseoConsistREC,bys,typogroups,weight
16,1,140123,140123,1,0,1,1,2,,,,,,,1,2,2,1,2,2,2,2,1,4,2,,,,,,,,,1,2,2,1,1,1,2,2,2,2,2,1,1,,,,,1,,,,0,,,100,5,,,2,2,2,,,,,,,,,1,2,1,,,1,2,2,,,,,,,1,1,,,1,,1,1,2,1,2,2,2,,,2,1,2,2,,1,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,2,,1,2,,2,1,2,,2,,1,2,,2,,,,,,,,,2,72,3,2,2,,,,,1,5,2,,1,,2,3,3,,1,3,2,,,2,3,,,,,,99,1,2,,,,,,,8,7,1,,,,3,2,2,2,,,,2,2,0,9,1.8122752,,-4,2,0,1,1.5059649
17,1,140123,140123,1,0,1,1,2,,,,,,,3,2,1,1,2,2,1,1,1,3,2,,,,,,,,,2,1,2,1,2,1,1,2,2,1,2,1,2,,,,,1,50,,,,,,50,3,,,2,2,2,,,,,,,,,1,3,1,,,2,2,2,,,,,,,1,2,,,1,,1,2,1,2,2,2,1,,,2,2,1,2,,1,,,1,,,,,,,1,2,,,1,1,1,2,,,,,,,,,,,,1,2,,2,,2,2,,1,1,1,,1,2,,1,2,,,,,,,,,,2,86,7,2,2,5,,,,1,1,2,,1,,1,3,10,,3,2,,,,2,4,,,,,,,,3,,,,,,,2,2,2,2,,,,1,2,1,,,,4,4,0,,0.2647982,,-6,2,0,2,0.7542988
18,1,140123,140123,1,0,1,1,2,,,,,,,2,9,2,1,2,2,1,2,1,3,1,,,,,,,,,2,1,2,1,9,1,2,1,2,2,2,1,2,,,,,2,,,,60,,,40,2,,,1,,,,,,,,,,,3,2,2,,,2,1,2,,,,,,,1,2,,,1,,1,1,2,1,2,2,1,,,2,1,2,2,,1,,,1,,,,,,,2,,,,2,1,2,2,,,,,,,,,,,,1,2,,1,2,,2,,1,1,1,,2,,2,1,2,,,,,,,,,,2,61,5,2,9,,,,,1,1,2,,12,,,5,10,,1,3,1,,,1,3,,,,,,99,2,2,,,,,,,2,2,1,,,,2,2,2,1,,,,9,9,1,9,0.6655708,,-5,2,0,1,0.8410481
19,1,140127,140123,4,0,1,1,1,,,,,,,1,2,2,1,1,2,2,2,1,8,8,,,,,,,,,1,1,1,2,1,1,1,2,2,1,2,2,1,,,,,1,,,,50,,,50,3,,,1,,,,,,,,,,,2,1,1,,,2,1,2,,,,,,,2,1,,,2,,1,2,1,2,1,2,2,,,2,2,1,1,,2,,,1,,,,,,,1,1,2,,2,1,2,2,,,,,,,,,,,,2,,2,2,,2,1,1,,2,,2,2,,1,2,,2,,,,,,,,,2,74,4,2,1,,,,,1,1,2,,1,,1,1,6,,1,3,1,,,1,3,,,,,,99,3,1,4,,,,,,2,2,1,,,,2,2,2,1,,,,1,1,1,9,0.3685442,,0,3,0,2,0.537733
21,1,140123,140123,1,0,1,1,2,,,,,,,4,2,2,1,1,2,1,1,1,1,2,,,,,,,,,1,1,1,2,1,1,1,1,2,1,1,1,1,,,,,1,60,,,,,,60,4,,,1,,,,,,,,,,,2,1,1,,,1,2,2,,,,,,,2,1,,,2,,1,1,2,2,1,2,2,,,2,2,2,1,,1,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,2,,2,1,2,,1,1,,2,,2,2,,2,,,,,,,,,1,80,6,2,1,,,,,1,1,2,,1,,1,2,4,,1,1,,,,1,2,,,,,,5,1,3,,,,,,,2,2,1,,,,2,1,2,1,3,,,1,1,1,1,0.2501826,,2,3,0,7,0.3352879
22,1,140123,140123,1,0,1,1,2,,,,,,,3,2,2,1,2,2,2,2,1,3,2,,,,,,,,,2,2,2,1,2,1,2,2,2,1,2,2,1,,,,,1,50,,,,,,50,3,,,1,,,,,,,,,,,3,2,1,,,1,2,2,,,,,,,1,2,,,1,,1,1,1,1,1,1,1,,,2,2,2,2,,1,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,9,,,2,,9,2,,1,1,2,,2,,2,1,2,,,,,,,,,,2,54,6,2,1,,,,,1,1,2,,12,,,5,7,,1,3,2,,,2,3,,,,,,8,4,2,,,,,,,1,,1,,,2,,1,2,2,,,,1,1,1,2,0.2008347,,-6,2,0,3,0.3480195
23,1,140123,140123,1,0,1,1,2,,,,,,,3,2,2,1,1,2,1,1,1,4,3,,,,,,,,,1,2,2,1,2,1,2,2,1,2,2,1,2,,,,,2,35,,,,,,35,2,,,1,,,,,,,,,,,1,2,2,,,1,2,2,,,,,,,1,2,,,1,,1,2,2,1,2,1,1,,,2,2,1,1,,1,,,2,,,,,,,1,1,2,,2,1,2,2,,,,,,,,,,,,1,2,,2,,1,2,,2,1,1,,1,1,,2,,2,,,,,,,,,2,68,5,2,1,,,,,1,1,2,,2,,2,1,8,,1,2,,,,2,4,,,,,,99,3,2,,,,,,,2,2,1,,,,3,2,2,1,,,,1,1,1,9,0.4482428,,-2,3,0,5,0.5586436
24,1,140123,140123,1,0,1,1,2,,,,,,,2,1,2,1,2,1,1,1,1,2,2,,,,,,,,,9,1,5,2,1,2,9,1,2,9,2,9,1,,,,,1,50,,,,,,50,3,,,1,,,,,,,,,,,3,3,1,,,1,2,2,,,,,,,1,2,,,9,,1,2,2,2,1,1,5,,,2,2,1,2,,2,,,2,,,,,,,2,,,,1,2,2,2,,,,,,,,,,,,2,,2,1,1,,2,,1,2,,9,2,,9,9,,,,,,,,,,,2,55,5,2,2,,,,,1,3,2,,13,,1,1,7,,1,3,9,,,9,2,,,,,,99,1,3,,,,,,,1,,1,,,3,,1,2,1,,,,2,2,1,9,0.3595486,,-1,3,0,2,0.441129
25,1,140123,140123,1,0,1,1,2,,,,,,,3,2,2,1,1,2,2,2,2,3,2,,,,,,,,,2,1,2,2,2,2,2,1,2,1,2,1,1,,,,,5,100,,,,,,100,5,,,1,,,,,,,,,,,1,2,4,,,2,2,1,,,,,,,1,2,,,1,,1,2,2,2,2,1,1,,,1,2,2,1,,2,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,2,,2,2,,2,2,,1,1,2,,1,1,,,,,,,,,,2,35,3,2,1,,,,,1,1,1,,2,,2,2,1,,3,4,1,,,1,1,,,,,,,,3,,,,,,,5,2,1,,,,2,2,2,1,,,,1,1,1,,3.5064307,,-2,3,1,8,1.705394
26,1,140123,140123,1,0,1,1,2,,,,,,,2,2,1,1,1,2,1,1,2,4,1,,,,,,,,,1,1,2,1,1,1,2,2,1,2,1,1,1,,,,,2,,,,60,,,40,2,,,1,,,,,,,,,,,1,2,2,,,1,1,2,,,,,,,1,2,,,1,,2,2,1,1,2,2,2,,,2,1,2,2,,2,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,2,,2,2,,2,1,2,,2,,1,2,,2,,,,,,,,,2,42,6,2,1,,,,,1,1,2,,1,,2,5,6,,1,2,,,,2,5,,,,,,5,3,2,,,,,,,2,2,1,,,,3,1,2,2,,,,1,1,1,1,1.0226747,,-8,1,0,1,0.8403084
28,1,140123,140123,2,0,1,1,2,,,,,,,3,2,1,1,1,2,2,1,1,3,2,,,,,,,,,2,1,2,1,1,1,2,2,2,2,2,1,1,,,,,2,,,,70,,,30,2,,,1,,,,,,,,,,,1,2,1,,,1,2,2,,,,,,,1,2,,,1,,1,2,1,1,2,2,1,,,2,1,2,2,,1,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,2,,2,2,,2,1,2,,1,2,,2,,2,,,,,,,,,2,52,8,2,3,,,,,1,6,1,,12,,,6,10,,1,2,,,,2,4,,,,,,99,2,2,,,,,,,3,1,1,,,,3,2,2,2,,,,3,4,1,9,0.4051369,,-10,1,0,1,0.403106
29,1,140123,140123,2,0,1,1,1,,,,,,,1,1,2,1,1,2,2,2,1,3,2,,,,,,,,,1,2,1,1,2,2,2,1,1,2,2,1,1,,,,,3,50,,,,,,50,3,,,1,,,,,,,,,,,3,3,3,,,1,1,2,,,,,,,1,2,,,1,,1,2,2,1,2,2,2,,,1,2,2,1,,1,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,1,2,,2,1,1,,1,1,,2,,1,1,1,,,,,,,,,,2,34,8,2,1,,,,,1,1,2,,2,,2,4,9,1,1,2,,,,2,3,,,,,,99,4,3,,,,,,,2,2,1,,,,1,2,2,1,,,,1,1,1,9,2.3473669,,2,3,0,5,0.9453351
31,1,140129,140123,4,0,1,1,3,,,,,,,2,2,1,2,2,2,2,2,1,3,4,,,,,,,,,1,2,1,2,2,2,1,1,1,1,2,2,2,,,,,2,,,,50,,,50,3,,,1,,,,,,,,,,,2,1,1,,,1,2,2,,,,,,,2,1,,,2,,1,2,1,2,1,1,2,2,,1,2,2,1,2,2,,,1,,,,,,,1,1,1,1,2,2,2,2,,,,,,,,,,,,2,,2,2,,2,1,1,,2,,1,1,2,,2,,2,,,,,,,,,1,71,4,2,1,,,,,1,1,2,,1,,1,5,8,,1,3,1,1,,1,2,,,,,,2,2,1,4,,,,,,2,2,1,,,,2,2,2,1,,,,1,1,1,1,0.5235139,,10,5,0,7,0.4971318
32,1,140123,140123,1,0,1,1,2,,,,,,,1,2,1,1,1,2,2,1,1,3,2,,,,,,,,,1,1,2,2,2,1,2,2,1,1,2,1,1,,,,,1,50,,,,,,50,3,,,1,,,,,,,,,,,1,2,2,,,1,2,2,,,,,,,1,2,,,1,,2,1,2,1,5,2,1,,,1,2,1,2,,1,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,2,,2,1,1,,1,1,,2,,2,1,2,,,,,,,,,,1,47,6,2,1,,,,,1,1,1,,1,,2,5,9,2,1,2,,,,2,4,,,,,,99,4,2,,,,,,,4,2,1,,,,2,2,2,1,,,,1,1,1,9,0.4638274,,-4,2,0,3,0.4324072
33,1,140125,140123,3,0,1,1,3,,,,,,,1,1,2,2,1,2,1,2,1,9,9,,,,,,,,,1,1,1,1,5,1,1,2,1,2,2,1,1,,,,,2,,,,50,,,50,3,,,1,,,,,,,,,,,3,3,4,,,9,9,1,,,,,,,1,1,,,1,,2,2,1,1,1,1,2,,,1,2,1,2,,1,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,1,1,,1,1,,1,1,,2,,9,2,,2,,,,,,,,,2,57,8,2,1,,,,,2,1,2,1,2,,9,2,6,,1,3,9,,,9,3,,,,,,99,1,1,2,,,,,,2,2,1,,,,3,1,2,2,,,,1,1,1,9,0.5616326,,-3,2,0,4,0.422475
34,1,140123,140123,1,0,1,1,2,,,,,,,9,1,1,2,1,1,2,2,1,4,1,,,,,,,,,2,1,2,1,1,1,1,2,2,1,2,1,1,,,,,1,,,,50,,,50,3,,,2,2,2,,,,,,,,,1,1,1,,,2,2,1,,,,,,,1,2,,,1,,1,2,1,2,2,2,2,,,2,1,2,2,,2,,,2,,,,,,,2,,,,1,2,2,2,,,,,,,,,,,,1,2,,2,,2,2,,1,2,,1,2,,1,1,1,,,,,,,,,,2,70,4,2,2,,,,,1,5,2,,1,,1,5,1,,1,2,,,,2,5,,,,,,99,2,3,,,,,,,1,,1,,,3,,1,1,1,,,,2,2,0,9,0.2825184,,-10,1,0,2,0.4190876
35,1,140123,140123,2,0,1,1,2,,,,,,,2,1,2,1,1,2,2,2,1,2,3,,,,,,,,,2,2,1,2,1,1,1,1,2,2,2,1,2,,,,,2,70,,,,,,70,4,,,1,,,,,,,,,,,3,1,2,,,1,2,2,,,,,,,2,2,,,1,,1,2,5,1,1,2,1,,,1,1,2,2,,1,,,2,,,,,,,1,1,1,2,2,1,2,2,,,,,,,,,,,,2,,2,2,,2,2,,1,1,1,,2,,2,1,2,,,,,,,,,,2,56,8,2,1,,,,,1,1,1,,2,,2,2,9,1,1,3,1,,,1,3,,,,,,2,4,3,,,,,,,4,3,1,,,,2,1,2,1,3,,,1,1,1,2,0.7161949,,0,3,0,6,0.6693266
36,1,140123,140123,2,0,1,1,2,,,,,,,3,1,2,1,2,1,2,1,1,3,2,,,,,,,,,2,1,2,2,2,5,1,2,2,1,2,1,1,,,,,3,50,,,,,,50,3,,,1,,,,,,,,,,,1,1,4,,,1,2,2,,,,,,,1,1,,,2,,1,2,1,2,2,1,2,,,1,2,1,2,,1,,,1,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,1,1,,1,1,,2,,2,2,,1,1,1,,,,,,,,,,1,34,2,2,1,,,,,1,1,1,,1,,2,4,4,,1,2,,,,2,5,,,,,,99,4,3,,,,,,,5,2,2,2,,,,2,2,1,,,,1,1,1,9,3.6190211,,-1,3,0,2,2.2222807
37,1,140123,140123,1,0,1,1,2,,,,,,,4,2,1,2,1,1,1,1,2,3,2,,,,,,,,,1,1,2,1,1,1,1,2,1,1,2,1,1,,,,,1,50,,,,,,50,3,,,1,,,,,,,,,,,3,2,1,,,1,2,1,,,,,,,1,2,,,1,,1,2,1,1,2,1,2,,,1,1,2,2,,1,,,2,,,,,,,1,2,,,2,1,2,2,,,,,,,,,,,,1,1,,2,,2,1,1,,1,1,,2,,1,2,,2,,,,,,,,,2,52,5,2,2,,,,,1,5,2,,1,,1,2,5,,1,3,2,,,2,3,,,,,,99,1,2,,,,,,,2,2,1,,,,2,2,2,1,,,,2,2,1,9,0.9597797,,-8,1,0,1,0.9232152
38,1,140123,140123,1,0,1,1,2,,,,,,,1,2,1,1,2,2,1,2,2,4,3,,,,,,,,,2,1,2,1,1,1,2,2,1,2,1,1,1,,,,,1,,,,60,,,40,2,,,1,,,,,,,,,,,1,2,1,,,1,2,2,,,,,,,1,2,,,1,,2,1,2,1,2,2,1,,,2,1,1,2,,1,,,2,,,,,,,1,1,1,1,1,1,1,2,,,,,,,,,,,,1,1,,2,,2,2,,1,1,2,,2,,1,2,,2,,,,,,,,,1,60,6,2,1,,,,,1,1,2,,12,,,5,9,1,1,2,,,,2,9,,,,,,99,3,2,,,,,,,2,2,1,,,,1,2,2,2,,,,1,1,1,9,0.4736953,,-10,1,0,1,0.6196198
40,1,140123,140123,1,0,1,1,2,,,,,,,2,1,1,2,2,2,2,1,1,2,3,,,,,,,,,1,2,1,2,2,2,1,2,2,1,2,1,2,,,,,1,50,,,,,,50,3,,,1,,,,,,,,,,,2,1,2,,,1,2,2,,,,,,,2,1,,,2,,1,1,2,2,1,1,2,,,1,2,2,1,,1,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,1,1,,1,1,,2,,1,2,,2,1,2,,,,,,,,,,2,45,3,2,1,,,,,1,2,2,,1,1,2,4,5,,1,3,1,,,1,2,,,,,,3,2,3,,,,,,,2,2,1,,,,2,2,2,1,,,,1,1,1,2,1.5699701,,8,5,0,7,1.0270801
41,1,140123,140123,1,0,1,1,2,,,,,,,4,2,1,1,2,1,2,1,1,4,2,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,1,,,,,1,0,,,,,,0,1,,,1,,,,,,,,,,,1,2,1,,,1,2,2,,,,,,,1,2,,,1,,2,1,2,2,2,2,1,,,2,1,1,2,,2,,,2,,,,,,,1,1,1,1,2,2,2,2,,,,,,,,,,,,1,1,,2,,2,2,,1,1,1,,2,,1,2,,2,,,,,,,,,1,55,3,2,1,,,,,1,5,2,,12,,,5,5,,1,3,2,,,2,4,,,,,,99,3,2,,,,,,,1,,1,,,3,,2,2,1,,,,1,1,1,9,0.7447086,,-10,1,0,1,0.6902505
42,1,140123,140123,1,0,1,1,1,,,,,,,4,1,2,1,1,2,1,1,2,4,1,,,,,,,,,1,1,2,1,1,1,2,2,2,2,1,1,2,,,,,1,,,,50,,,50,3,,,1,,,,,,,,,,,3,2,1,,,1,2,2,,,,,,,1,2,,,1,,2,1,2,1,2,2,1,,,2,1,2,2,,5,,,9,,,,,,,1,1,1,1,2,1,1,1,,,,,,,,,,,,1,1,,2,,2,9,,,1,2,,1,2,,1,2,,,,,,,,,,1,67,8,2,1,,,,,1,1,2,,12,,,6,9,2,1,2,,,,2,5,,,,,,2,2,2,,,,,,,2,2,1,,,,3,1,2,2,,,,1,1,1,1,0.1946873,,-6,2,0,1,0.2961742
43,1,140123,140123,1,0,1,1,2,,,,,,,4,2,2,1,1,2,2,2,1,4,3,,,,,,,,,1,5,2,1,9,1,5,1,1,2,2,2,1,,,,,4,50,,,,,,50,3,,,1,,,,,,,,,,,3,3,4,,,2,1,9,,,,,,,1,2,,,1,,1,2,1,1,2,9,2,,,2,1,5,2,,9,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,2,,2,1,1,,1,1,,2,,1,2,,2,,,,,,,,,2,48,3,2,1,,,,,1,5,2,,1,,1,2,1,,1,3,9,,,9,2,,,,,,99,4,3,,,,,,,3,3,1,,,,2,1,2,1,3,,,1,1,1,9,2.8902903,,-4,2,0,1,1.5706423
